Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
2016,9.0,09/08/2016  2:49 PM,09/08/2016  3:03 PM,"0 Hours, 14 Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0
2016,9.0,09/10/2016  9:42 AM,09/10/2016  9:57 AM,"0 Hours, 15 Minutes",Peak Reliability,WECC,Washington: Clark County;,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,135,Unknown
2017,10.0,10/16/2017  3:45 PM,10/16/2017  4:09 PM,"0 Hours, 24 Minutes",Bonneville Power Administration,WECC,Washington: Montana:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
2017,10.0,10/16/2017  3:55 PM,10/16/2017  4:10 PM,"0 Hours, 15 Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
2017,10.0,10/20/2017  3:44 AM,10/20/2017  3:45 AM,"0 Hours,  1 Minutes",Peak Reliability,WECC,Washington:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Severe Weather,900,Unknown
2017,10.0,10/26/2017  8:17 AM,10/26/2017  8:41 AM,"0 Hours, 24 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
2017,10.0,10/26/2017  8:17 AM,10/26/2017  8:41 AM,"0 Hours, 24 Minutes",Bonneville Power Administration,WECC,Washington: Whatcom County; Montana:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
2017,11.0,11/13/2017  2:00 AM,11/15/2017  8:17 AM,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
2017,11.0,11/13/2017  4:33 PM,11/16/2017  6:00 AM,"61 Hours, 27 Minutes","Seattle City Light, Sytem Control Center",WECC,Washington: King County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",85,68430
2018,6.0,06/22/2018  2:38 PM,.        .,". Hours,  . Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Severe Weather,10000,4200000
2018,7.0,07/27/2018  9:34 AM,07/27/2018  9:51 AM,"0 Hours, 17 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-System Operations,Unknown,Unknown
2018,12.0,12/14/2018  4:00 PM,12/17/2018  2:00 AM,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Washington: King County, Kitsap County, Island County, Pierce County, Thurston County, Whatcom County, Skagit County, Kittitas County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
2018,12.0,12/14/2018  6:00 PM,.        .,". Hours,  . Minutes",Snohomish County PUD No. 1,WECC,Washington: Snohomish County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",200,60000
2018,12.0,12/20/2018  9:30 AM,12/20/2018  5:00 PM,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Washington: Skagit County, Snohomish County, King County, Kitsap County, Island County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
